id,pokemon_id,pokemon_name,form,base_attack,base_defense,base_stamina
778,386,Deoxys,Attack,414,46,137
780,386,Deoxys,Normal,345,115,137
1040,555,Darmanitan,Galarian_zen,323,123,233
1153,646,Kyurem,Black,310,183,245
1155,646,Kyurem,White,310,183,245
397,150,Mewtwo,Normal,300,182,214
398,150,Mewtwo,Purified,300,182,214
399,150,Mewtwo,Shadow,300,182,214
816,409,Rampardos,Normal,295,109,219
1148,642,Thundurus,Therian,295,161,188
1059,567,Archeops,Normal,292,139,181
637,289,Slaking,Normal,290,166,284
1152,645,Landorus,Therian,289,179,205
947,486,Regigigas,Normal,287,210,221
953,491,Darkrai,Normal,285,198,172
776,384,Rayquaza,Normal,284,170,213
1112,612,Haxorus,Normal,284,172,183
945,484,Palkia,Normal,280,215,189
757,373,Salamence,Normal,277,168,216
758,373,Salamence,Purified,277,168,216
759,373,Salamence,Shadow,277,168,216
944,483,Dialga,Normal,275,211,205
1149,643,Reshiram,Normal,275,211,205
1150,644,Zekrom,Normal,275,211,205
1233,716,Xerneas,Normal,275,203,270
1234,717,Yveltal,Normal,275,203,270
180,65,Alakazam,Normal,271,167,146
181,65,Alakazam,Purified,271,167,146
182,65,Alakazam,Shadow,271,167,146
1109,609,Chandelure,Normal,271,182,155
774,382,Kyogre,Normal,270,228,205
775,383,Groudon,Normal,270,228,205
943,482,Azelf,Normal,270,151,181
1159,648,Meloetta,Pirouette,269,188,225
773,381,Latios,Normal,268,212,190
1145,641,Tornadus,Incarnate,266,164,188
1147,642,Thundurus,Incarnate,266,164,188
924,474,Porygon-Z,Normal,264,150,198
925,474,Porygon-Z,Purified,264,150,198
926,474,Porygon-Z,Shadow,264,150,198
1141,637,Volcarona,Normal,264,189,198
393,149,Dragonite,Normal,263,198,209
394,149,Dragonite,Purified,263,198,209
395,149,Dragonite,Shadow,263,198,209
1039,555,Darmanitan,Galarian_standard,263,114,233
1041,555,Darmanitan,Standard,263,114,233
261,94,Gengar,Costume_2020,261,149,155
262,94,Gengar,Normal,261,149,155
469,196,Espeon,Normal,261,175,163
873,445,Garchomp,Normal,261,193,239
874,445,Garchomp,Purified,261,193,239
875,445,Garchomp,Shadow,261,193,239
955,492,Shaymin,Sky,261,166,225
1151,645,Landorus,Incarnate,261,182,205
1143,639,Terrakion,Normal,260,192,209
1156,647,Keldeo,Ordinary,260,192,209
1157,647,Keldeo,Resolute,260,192,209
1124,620,Mienshao,Normal,258,127,163
766,376,Metagross,Normal,257,228,190
767,376,Metagross,Purified,257,228,190
768,376,Metagross,Shadow,257,228,190
1139,635,Hydreigon,Normal,256,188,211
1010,530,Excadrill,Normal,255,129,242
381,145,Zapdos,Normal,253,185,207
382,145,Zapdos,Purified,253,185,207
383,145,Zapdos,Shadow,253,185,207
1160,649,Genesect,Burn,252,199,174
1161,649,Genesect,Chill,252,199,174
1162,649,Genesect,Douse,252,199,174
