id,pokemon_id,pokemon_name,form,base_attack,base_defense,base_stamina
504,213,Shuckle,Normal,17,396,85
505,213,Shuckle,Purified,17,396,85
506,213,Shuckle,Shadow,17,396,85
495,208,Steelix,Normal,148,272,181
496,208,Steelix,Purified,148,272,181
497,208,Steelix,Shadow,148,272,181
256,91,Cloyster,Normal,186,256,137
257,91,Cloyster,Purified,186,256,137
258,91,Cloyster,Shadow,186,256,137
931,477,Dusknoir,Normal,180,254,128
932,477,Dusknoir,Purified,180,254,128
933,477,Dusknoir,Shadow,180,254,128
1053,563,Cofagrigus,Normal,163,237,151
1054,563,Cofagrigus,Purified,163,237,151
1055,563,Cofagrigus,Shadow,163,237,151
378,144,Articuno,Normal,192,236,207
379,144,Articuno,Purified,192,236,207
380,144,Articuno,Shadow,192,236,207
561,245,Suicune,Normal,180,235,225
562,245,Suicune,Purified,180,235,225
563,245,Suicune,Shadow,180,235,225
732,356,Dusclops,Normal,124,234,120
733,356,Dusclops,Purified,124,234,120
734,356,Dusclops,Shadow,124,234,120
263,95,Onix,Normal,85,232,111
264,95,Onix,Purified,85,232,111
265,95,Onix,Shadow,85,232,111
766,376,Metagross,Normal,257,228,190
767,376,Metagross,Purified,257,228,190
768,376,Metagross,Shadow,257,228,190
