id,pokemon_id,pokemon_name,form,base_attack,base_defense,base_stamina
481,202,Wobbuffet,Normal,60,106,382
482,202,Wobbuffet,Purified,60,106,382
483,202,Wobbuffet,Shadow,60,106,382
375,143,Snorlax,Normal,190,169,330
376,143,Snorlax,Purified,190,169,330
377,143,Snorlax,Shadow,190,169,330
349,131,Lapras,Normal,165,174,277
350,131,Lapras,Purified,165,174,277
351,131,Lapras,Shadow,165,174,277
906,464,Rhyperior,Normal,241,190,251
907,464,Rhyperior,Purified,241,190,251
908,464,Rhyperior,Shadow,241,190,251
558,244,Entei,Normal,235,171,251
559,244,Entei,Purified,235,171,251
560,244,Entei,Shadow,235,171,251
1120,618,Stunfisk,Normal,144,171,240
1121,618,Stunfisk,Purified,144,171,240
1122,618,Stunfisk,Shadow,144,171,240
873,445,Garchomp,Normal,261,193,239
874,445,Garchomp,Purified,261,193,239
875,445,Garchomp,Shadow,261,193,239
882,450,Hippowdon,Normal,201,191,239
883,450,Hippowdon,Purified,201,191,239
884,450,Hippowdon,Shadow,201,191,239
250,89,Muk,Normal,190,172,233
251,89,Muk,Purified,190,172,233
252,89,Muk,Shadow,190,172,233
311,112,Rhydon,Normal,222,171,233
312,112,Rhydon,Purified,222,171,233
313,112,Rhydon,Shadow,222,171,233
